attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,classification
40,75,95055,2095,6363,4748,6363,2484,2419,1354,0
51,61,41668,18620,11789,3787,11789,8677,1515,4932,0
48,56,90106,46058,22135,29267,22135,2868,4832,3354,0
60,54,403664,19692,13609,22629,13609,6089,5343,4877,0
50,48,162608,9979,4682,2077,4682,1373,1630,747,0
37,48,701524,95217,22391,28486,22391,12862,7468,9303,0
47,51,668109,95052,166427,44530,166427,21955,27788,13303,0
30,48,264659,21853,7859,9423,7859,1166,4116,1641,0
23,48,50864,53660,19955,20654,19955,3388,3122,1636,0
21,63,115581,20107,14371,39348,14371,5922,5244,4415,0
24,69,3380,12631,8470,50231,8470,6562,2946,3873,0
20,56,104720,115479,7995,17039,7995,3220,3313,5947,0
43,57,27373,21222,5157,18083,5157,11515,3509,2549,0
54,56,7823,10528,2626,37648,2626,9170,2340,2274,0
74,37,5559,12695,3499,4829,3499,8753,6461,2077,0
93,43,113370,41242,10898,16064,10898,7994,3619,2932,0
87,24,605986,148067,3302,11665,3302,24949,8258,3405,0
66,11,322759,101449,11592,47914,11592,5561,1885,2905,0
51,11,58968,48611,7115,16795,7115,3882,2320,987,0
48,29,40853,28149,19248,5245,19248,6129,2705,2194,0
61,38,60294,13506,1567,18347,1567,3802,2149,2455,0
56,56,58627,11681,22511,42386,22511,14295,4657,3166,0
54,56,25256,56127,18004,9807,18004,3704,2083,3092,0
48,61,18394,56472,3479,55665,3479,7886,2893,4436,0
51,51,52141,23967,7469,6449,7469,5151,6020,2891,0
48,44,116495,14008,7196,18522,7196,5822,1227,3561,0
57,53,186220,36836,13086,3503,13086,7637,4324,1611,0
53,60,139458,43488,30831,21332,30831,7684,2121,2230,0
43,67,263190,15649,37713,23147,37713,5428,2272,2018,0
51,63,118794,11973,16450,4736,16450,3137,2048,1966,0
53,64,333993,29620,9814,11083,9814,8089,3083,3905,0
51,64,94197,50822,45170,10473,45170,7808,3349,5097,0
47,54,239977,51194,41901,17964,41901,4847,2644,2188,0
43,48,432061,98218,44638,16473,44638,10068,13700,21380,0
29,29,186897,162550,9196,6109,9196,10126,3418,3605,0
29,30,228342,41260,20276,35830,20276,6932,3111,1386,0
23,23,46456,132042,20690,28508,20690,5534,2059,2856,0
23,26,653465,115937,2608,9715,2608,4865,4003,1740,0
35,27,85992,18731,15430,24149,15430,10554,2796,2447,0
47,35,876033,44907,35873,8746,35873,6193,3602,4463,0
37,35,188276,49029,38139,5868,38139,3956,4834,2517,0
44,51,245213,18641,7352,4358,7352,2159,1216,1064,0
24,35,1442585,312982,40749,21087,40749,11555,9117,12002,0
34,41,222223,73224,75791,136502,75791,44288,9798,2981,0
29,48,107968,13725,2909,21037,2909,1430,1364,928,0
43,56,29839,10993,11214,36082,11214,12312,4687,1829,0
53,74,798530,20411,7022,25651,7022,3830,4333,7350,0
41,81,42201,8637,7482,84162,7482,5979,6214,1979,0
60,77,33033,16275,10187,9598,10187,5951,5248,3042,0
40,63,117329,23600,3321,4667,3321,1415,1590,1217,0
40,53,1083477,134478,49849,21961,49849,15276,22015,13682,0
47,29,409046,88662,5277,28100,5277,11567,4080,3206,0
38,21,89144,50042,9036,9482,9036,6055,5141,3177,0
53,41,48962,16284,15535,47563,15535,12293,7332,3019,0
54,40,152657,40734,7138,10843,7138,4762,5258,3130,0
47,34,142698,104020,6446,13884,6446,6472,3005,3292,0
34,34,237004,97497,5324,29151,5324,4093,2887,3420,0
35,26,165447,39603,7252,47357,7252,9994,2662,2467,0
27,41,286389,94509,41395,47919,41395,5138,2715,3651,0
43,56,26367,13775,11863,36126,11863,6980,3729,1844,0
40,61,186927,45045,3334,33522,3334,7622,4882,4087,0
20,43,392239,222061,18829,23730,18829,6005,2349,2081,0
26,35,69671,64541,10287,15634,10287,3861,2802,1640,0
23,23,46742,48295,12712,15034,12712,6902,5305,1738,0
21,37,18608,6021,11936,21823,11936,2956,3852,2335,0
26,63,32924,34622,27091,76585,27091,4712,3888,2357,0
30,77,33900,27600,21580,33596,21580,5204,3605,1279,0
37,93,42126,7015,16758,27083,16758,6661,3895,1073,0
41,80,36425,22702,18742,5867,18742,5394,4810,4699,0
61,64,12434,17035,6790,15592,6790,7035,4456,2856,0
74,54,49387,11053,5784,3913,5784,3821,4338,4078,0
74,43,109393,14212,4021,10439,4021,4037,3719,4778,0
70,48,76424,18223,14253,12322,14253,3869,2573,2847,0
69,54,32836,31096,4421,46306,4421,12263,2699,2558,0
64,54,96533,30564,9571,14900,9571,6333,2264,1420,0
53,51,898800,123621,26508,39354,26508,9252,4439,2945,0
56,47,89895,53730,9845,32270,9845,12938,4721,2203,0
57,35,111305,24318,2416,5987,2416,5155,1475,1232,0
40,24,1050269,705154,46572,85694,46572,21585,9749,7948,0
53,23,707021,140776,80111,35539,80111,44120,27541,20064,0
53,17,46611,6587,2319,2106,2319,1358,1853,1059,0
40,24,154114,48035,8757,20301,8757,4097,3793,761,0
54,40,1680426,101773,111877,13190,111877,19226,17861,12266,0
44,26,605089,95385,12645,28145,12645,19429,17105,2760,0
60,21,756692,98888,13669,16068,13669,28140,7526,3687,0
60,20,503957,64200,27248,15920,27248,10128,5114,1862,0
63,43,1948949,112566,42235,38170,42235,13431,6318,2525,0
40,47,798391,179862,37730,51102,37730,6018,2264,1114,0
27,48,1010119,68034,9203,14917,9203,7212,4784,1944,0
11,44,247980,99167,29896,4347,29896,3286,1623,3391,0
1,34,49187,25097,592,3470,592,664,558,729,0
14,34,122622,41746,10078,12383,10078,5708,5057,2896,0
11,43,8292,37932,295,47794,295,5420,7157,2680,0
35,50,178475,25859,9567,20414,9567,8400,3448,3109,0
38,74,31805,21307,50805,41101,50805,3145,4308,3492,0
30,83,317517,46371,20432,44247,20432,5131,3450,2094,0
37,84,82187,4083,8510,33519,8510,4291,3221,3364,0
40,90,14358,11455,4962,24927,4962,8923,2722,2137,0
41,80,582067,67229,25363,37584,25363,4563,3774,2833,0
47,80,264875,44426,33720,42656,33720,8962,3584,2005,0
40,74,358120,43158,2075,27001,2075,3894,2524,2940,0
20,63,150356,168597,22137,40768,22137,8637,4419,2660,0
35,67,36855,29706,11100,51084,11100,10617,6343,10386,0
37,74,65033,7562,27156,17305,27156,4717,4000,1605,0
29,77,157584,69146,22852,52352,22852,4215,3176,2333,0
51,60,211259,12384,3154,4189,3154,4635,1989,2510,0
50,53,398057,79644,13261,92718,13261,14464,2555,3706,0
69,44,163534,23816,5167,6702,5167,6073,2302,1728,0
77,53,5767,10279,7808,13421,7808,6634,7244,2776,0
61,63,398990,27108,21572,23736,21572,4796,7294,2661,0
47,50,24167,23651,4037,511,4037,676,817,436,0
37,53,635084,38819,3155,22957,3155,4538,3124,2165,0
26,57,293937,42173,31304,43347,31304,10271,6024,2529,0
35,41,318798,53805,3683,4396,3683,8865,5177,1564,0
56,48,161454,14207,15336,4642,15336,5580,1963,5179,0
64,48,55732,28783,7435,15038,7435,6158,5354,1739,0
66,43,791192,268530,187175,113101,187175,59800,72301,16969,0
60,53,3598743,223352,31552,93179,31552,28184,11670,17143,0
43,47,363152,51114,12690,4618,12690,3616,1526,2012,0
37,43,636502,266539,91408,51616,91408,25487,9591,4552,0
30,41,289370,56922,9043,9936,9043,4399,2512,2448,0
27,38,979218,75150,10181,11285,10181,5511,1436,695,0
40,47,53487,33978,6687,30201,6687,10822,3417,1953,0
51,50,108300,16187,9289,5945,9289,4636,5055,2298,0
54,56,71420,41582,11324,23372,11324,6167,6575,6000,0
63,57,91439,13103,2355,4232,2355,2141,1760,914,0
41,61,109524,56496,30218,73694,30218,3763,5086,1788,0
34,63,213409,15590,1602,12449,1602,2067,2260,357,0
35,64,399376,33311,19827,53670,19827,10301,2672,3396,0
20,61,229744,19552,5024,1029,5024,843,433,381,0
35,35,63939,68894,2915,643,2915,5475,3579,3070,0
26,21,182142,209101,23040,11857,23040,10158,3667,2811,0
21,16,315182,72768,28264,2408,28264,6537,2743,1863,0
21,29,718591,83162,94400,29281,94400,6835,3947,2626,0
24,50,272676,38030,17379,8341,17379,6223,1002,1498,0
14,53,536630,174520,35150,9828,35150,10043,8317,3596,0
13,35,740781,287945,15276,21517,15276,8604,2687,3468,0
14,29,273247,59436,20859,2655,20859,7729,1068,1135,0
10,24,174441,207707,13881,28612,13881,2185,2307,2897,0
14,24,64097,36059,1175,10063,1175,2254,1279,2339,0
14,20,49774,70406,1331,3733,1331,1433,1253,564,0
16,27,695351,44794,57223,6792,57223,11091,3310,2389,0
48,48,241165,17198,37758,36650,37758,15739,3421,1197,0
53,48,503040,362740,67053,44160,67053,39414,18793,6512,0
60,67,850703,111511,74344,36671,74344,7043,5642,7773,0
51,57,461272,317532,50437,33810,50437,16750,14750,16244,0
47,40,859631,36364,5109,4930,5109,5535,5600,2841,0
37,43,535507,8642,3336,1016,3336,411,319,459,0
41,26,111557,26927,684,2245,684,1423,816,804,0
40,17,270575,289152,15299,11993,15299,12415,19409,7403,0
43,17,1702666,62983,6674,12642,6674,12866,1992,3733,0
50,17,224787,110248,33045,32561,33045,9681,5353,1363,0
60,29,1583892,98718,33687,11090,33687,18250,9056,6093,0
67,35,2152826,268655,32487,22463,32487,30432,5342,5727,0
63,38,427917,39258,14274,4479,14274,5737,3467,1478,0
74,38,1385021,66557,8859,33846,8859,14655,6250,5217,0
64,41,216838,14901,1880,6845,1880,1435,2518,1053,0
56,50,2718666,286819,20160,133217,20160,16685,12048,7898,0
54,47,759978,48736,11545,12794,11545,5664,9070,6870,0
44,48,617039,33432,13520,6941,13520,3022,600,812,0
50,53,571621,42973,42676,12628,42676,9151,2467,2454,0
53,44,310148,80019,8905,6068,8905,5219,1004,1139,0
48,44,776936,66347,10669,10708,10669,5099,1648,912,0
50,53,1123796,77943,50250,71509,50250,11955,5363,3606,0
43,50,483280,26155,9126,17311,9126,2678,1968,1233,0
43,54,314290,38283,4914,5424,4914,2498,1707,510,0
34,60,696376,162272,59937,42952,59937,6752,5595,4322,0
30,53,163188,9826,4729,2086,4729,837,594,234,0
38,78,219847,22648,13029,43389,13029,7302,4999,3000,0
44,70,399332,168954,31178,21940,31178,10992,14402,4964,0
34,63,781171,296931,46890,6393,46890,5225,2368,1412,0
27,50,196532,256916,97112,73513,97112,11527,20641,9932,0
24,41,405568,19837,10015,2392,10015,1966,781,501,0
29,50,2338780,242711,126160,164181,126160,44040,33944,18789,0
35,48,394266,201917,31148,4827,31148,6590,5762,4320,0
64,47,1942834,13536,10013,6535,10013,15199,13388,5240,0
83,38,180595,37233,6467,10182,6467,21865,8016,7661,0
77,21,465372,193023,4341,17117,4341,9965,2892,3805,0
91,26,956793,1119489,268968,130708,268968,194283,118049,27672,0
74,29,1495249,57119,33418,18746,33418,8522,6788,2052,0
57,34,627099,110037,6952,26380,6952,11345,6608,939,0
50,54,1516617,64713,33455,67212,33455,11151,5840,3203,0
44,53,1069820,113807,44534,39530,44534,8594,4773,3635,0
34,57,97919,10696,2737,4271,2737,509,756,263,0
35,60,680525,160899,51399,50290,51399,15329,9113,1811,0
37,61,31953,28590,6709,34700,6709,5260,674,1045,0
50,56,163209,66240,8245,26626,8245,14671,5136,2828,0
66,50,290276,22554,2657,4527,2657,4821,1602,924,0
70,60,102913,46477,56422,58879,56422,11771,4407,2812,0
67,53,278756,118499,46007,24567,46007,10654,16285,3988,0
61,53,108653,85916,21753,7296,21753,9049,4927,1718,0
54,61,735676,56752,17378,35767,17378,10617,4124,4485,0
56,60,403993,48424,11945,64909,11945,10878,5247,8857,0
47,77,850093,132234,57379,28469,57379,6713,2707,4321,0
47,88,62504,9564,47379,38705,47379,8947,8365,2714,0
47,83,488097,60046,29355,26579,29355,9441,5504,3765,0
56,80,60221,5617,7890,11811,7890,3721,1247,542,0
64,74,1705023,164263,28426,17975,28426,12584,6104,2433,0
61,57,32315,64884,23037,10198,23037,6546,579,998,0
51,53,159423,73412,15069,22633,15069,3766,1952,640,0
44,40,266934,469356,42075,94536,42075,45995,3272,3367,0
51,44,300752,32929,5893,17014,5893,6613,2739,438,0
47,40,1138534,170822,27890,16873,27890,9667,4843,3981,0
48,40,259956,143242,13886,52077,13886,7835,5775,2777,0
66,41,218295,130081,18794,69339,18794,95281,8242,11595,0
74,41,2251281,393513,154654,197152,154654,162837,27223,20296,0
70,40,163287,21297,1774,2696,1774,926,289,487,0
78,40,1477001,56515,16612,22088,16612,8044,2628,3808,0
63,44,119255,38942,14059,11307,14059,5777,1073,884,0
51,44,567964,112502,18648,54605,18648,14285,18901,2968,0
60,51,177057,303772,84637,64227,84637,32533,16602,4713,0
54,54,1215194,315369,269135,43678,269135,35896,5914,4234,0
53,54,1033360,21793,12648,8921,12648,3468,3276,783,0
44,63,197014,23481,27387,8854,27387,2032,3022,365,0
34,56,239138,93375,5425,8024,5425,2583,674,639,0
37,43,116061,27257,3162,2033,3162,2173,560,789,0
29,27,447721,182526,4962,12378,4962,9585,2751,2992,0
35,23,803172,41945,26918,5129,26918,3880,968,1788,0
53,26,1209108,167386,20213,20767,20213,28776,18929,4639,0
51,29,1789125,168585,14291,41932,14291,13170,10776,3051,0
56,41,350338,33398,8571,13811,8571,4546,5712,3310,0
64,41,1019068,43516,40162,1000,40162,8778,9308,3002,0
64,47,1196228,149913,38061,45522,38061,38288,14533,7951,0
84,47,1357687,33391,6737,17779,6737,20740,10952,8848,0
91,48,991978,105185,56777,39146,56777,29184,18652,4658,0
83,50,2268619,615005,406158,350970,406158,73134,37244,21248,0
74,37,773052,180025,10205,2687,10205,11263,13059,2926,0
50,37,965573,384770,76898,48912,76898,21393,8395,8596,0
51,23,1859772,746710,43066,42498,43066,127963,35600,19290,0
50,17,521551,16361,1197,7432,1197,1187,1544,216,0
51,21,576011,180963,10018,5399,10018,11390,5101,2026,0
61,27,94599,18169,21971,2930,21971,4299,1678,1650,0
50,43,1152436,244448,171325,15298,171325,22893,16644,12496,0
60,44,574201,94857,52305,23481,52305,22757,8530,3940,0
67,56,113615,23132,5527,6637,5527,4273,4780,1214,0
50,37,308755,231605,10399,6192,10399,4617,2289,4068,0
41,27,161702,157838,18143,17198,18143,5048,3720,5984,0
35,17,1410241,86081,4019,9098,4019,6290,12715,3673,0
27,20,161081,18263,4104,3934,4104,1803,721,294,0
41,30,1054971,139940,26837,30802,26837,12378,7129,4238,0
56,40,424256,133250,51821,54952,51821,28120,12335,6344,0
54,47,692887,311498,46143,72517,46143,23181,10924,8432,0
60,38,300753,418198,57399,24053,57399,61310,27327,15261,0
74,38,429861,7801,3656,851,3656,2855,331,293,0
64,43,1315039,191297,210866,48546,210866,23564,13309,4688,0
67,51,1353248,48358,90365,13777,90365,10471,9260,2519,0
43,61,1848126,20833,5159,6926,5159,2231,1397,1172,0
56,57,32799,5248,2855,1973,2855,1769,1694,807,0
43,51,698800,284976,83180,41118,83180,7624,10001,6060,0
60,48,212329,4735,591,3325,591,1877,3109,387,0
56,48,1989968,575031,122280,141617,122280,33109,22850,16327,0
44,41,77278,7377,1327,617,1327,629,500,423,0
56,35,1121124,101888,4699,24428,4699,7139,5900,2386,0
44,38,1738683,636362,262996,112406,262996,78746,58899,14307,0
53,30,1663358,104993,7566,18782,7566,14045,10288,4826,0
54,34,1610663,334936,25107,91888,25107,34924,69346,19376,0
54,34,839194,108966,16304,11498,16304,7221,9588,5650,0
51,23,1152854,70753,4641,8197,4641,3887,5346,1317,0
56,34,473238,26401,11343,11743,11343,7974,6857,4247,0
64,35,247659,92779,25149,18666,25149,26961,9482,6205,0
74,48,869152,86116,94846,73098,94846,27251,12386,6327,0
74,61,921630,83978,74218,27329,74218,9187,2068,3590,0
60,44,789856,287616,4268,17964,4268,13489,7752,3452,0
53,51,732149,10405,2547,8136,2547,2239,2577,3498,0
54,43,989889,59230,12998,21564,12998,11339,12046,2961,0
50,30,108062,17717,515,4190,515,608,1672,753,0
44,43,353673,43270,7225,6435,7225,1565,732,614,0
38,35,797383,217054,22597,36336,22597,15629,8887,5142,0
50,29,2041411,411535,121404,27667,121404,201679,23087,38280,0
56,35,1323358,107054,41877,14002,41877,9142,8696,4078,0
70,30,1494276,254448,47357,24007,47357,33500,12215,10537,0
83,35,544025,90363,16038,18385,16038,23054,17893,4952,0
67,41,273204,49389,25233,5577,25233,6878,14648,5131,0
61,41,41162,27985,10680,2983,10680,1321,1231,1628,0
70,37,96513,13973,565,1683,565,4257,1324,1417,0
54,43,96016,92705,43885,35768,43885,6654,9202,3507,0
53,38,271730,107187,22311,29110,22311,12047,8753,4950,0
60,41,29600,74890,11911,38457,11911,7691,15463,4658,0
53,54,27402,22172,6105,12417,6105,5729,6250,2716,0
70,38,283905,85306,6935,3862,6935,17662,5970,4971,0
74,40,417376,33258,16071,9056,16071,5699,7504,3360,0
70,38,2896419,220688,51792,70929,51792,17796,16495,8832,0
53,37,1146878,201265,44932,47582,44932,6844,4881,1990,0
48,51,1895099,92520,52924,17905,52924,16580,5479,9811,0
44,43,2628571,469433,44491,49897,44491,40444,7313,13363,0
41,43,168610,46000,12821,11232,12821,3000,3717,1934,0
57,44,222127,56413,8318,33091,8318,12000,8626,6019,0
47,40,2149497,352040,54659,59114,54659,15446,4860,6691,0
56,43,2261713,66599,15576,14011,15576,15484,6776,2493,0
53,37,567575,865084,93096,103853,93096,34971,4744,4253,0
50,37,2100629,279930,69984,88491,69984,42107,45718,10603,0
60,41,1129838,79465,22515,35641,22515,13220,7493,2072,0
47,34,776368,159910,3442,10981,3442,8926,3914,5524,0
53,21,451114,38610,1621,1206,1621,2083,2890,2960,0
57,17,1093065,82401,22760,13835,22760,19337,5990,3057,0
48,14,526283,92870,8191,31379,8191,5265,3207,1308,0
51,24,1116642,49183,8817,5468,8817,4540,2295,1910,0
37,27,208253,149777,7849,7801,7849,2071,1889,3003,0
21,24,159701,15912,1898,1533,1898,748,442,554,0
29,13,961786,166135,4004,11856,4004,13397,5554,2858,0
38,21,1047488,12967,206,13358,206,4009,2231,4842,0
64,30,324354,18644,1060,10702,1060,4776,2263,760,0
66,35,90414,29833,7506,2280,7506,1889,1195,1114,0
75,53,1027971,70750,46709,26964,46709,23642,12818,5197,0
64,51,642946,38320,10566,14471,10566,3873,2034,2067,0
63,38,62423,35379,2741,680,2741,5006,3995,497,0
69,41,1828490,454637,172631,62014,172631,61950,15437,10301,0
61,51,608830,8550,16140,6519,16140,2390,2176,866,0
57,30,1682869,185632,548,10896,548,8110,9648,1969,0
56,61,55022,12940,13918,6308,13918,2241,822,596,0
57,40,171526,52197,3926,4652,3926,5390,1182,1433,0
63,47,555861,55461,1099,8898,1099,4561,3523,1381,0
57,35,2295598,626364,96434,71401,96434,75074,18622,10334,0
69,29,2301472,125126,100815,11933,100815,48904,6280,2482,0
69,35,506297,21572,4523,4085,4523,3065,1928,940,0
64,37,207104,31613,2209,4948,2209,1610,1337,926,0
64,38,600902,37635,9117,3516,9117,4805,8013,2767,0
54,38,1085634,59669,9146,23763,9146,7115,4416,4158,0
41,41,1605897,81048,18766,21974,18766,3329,3950,797,0
57,53,321354,22200,22645,1389,22645,8208,2878,1234,0
54,56,908297,164599,20281,86633,20281,18976,17504,7069,0
64,51,2092254,156477,19525,33527,19525,33034,14334,2822,0
75,53,1491402,144707,96744,33613,96744,22546,25604,7387,0
61,61,3028326,45242,97186,56210,97186,11823,27648,3624,0
75,57,200630,60920,15606,10562,15606,19441,23069,1770,0
74,57,1018449,66440,11272,15027,11272,14555,10170,3586,0
74,48,609876,818047,73122,104131,73122,78100,35344,9053,0
75,44,781162,15172,10167,22665,10167,3152,2374,2512,0
75,44,2701492,50614,2658,6586,2658,15332,7883,5260,0
67,48,1743810,70506,26826,13892,26826,13862,3887,7213,0
66,50,1584839,86294,21875,22584,21875,16829,4359,5059,0
74,60,1974838,159045,92307,42044,92307,44399,10654,13726,0
74,60,1849828,745244,123824,74628,123824,128758,71733,10747,0
66,48,2172820,961759,213376,112883,213376,45182,13060,15434,0
56,47,421011,91746,29696,9903,29696,6355,3050,4185,0
48,40,1484426,211468,15519,25825,15519,15627,10423,7023,0
50,29,635942,97830,3774,16564,3774,19630,3931,2993,0
63,40,48383,37980,35494,34241,35494,16049,5886,5933,0
63,40,2807865,111609,34441,20027,34441,5772,2346,3028,0
80,41,323601,282479,3346,44845,3346,99015,34574,21922,0
67,43,564149,44409,6097,2839,6097,3283,3183,2810,0
67,43,939242,45324,21047,34810,21047,16699,4791,5555,0
51,21,227165,67828,3556,1832,3556,2162,1771,4824,0
56,16,1291806,216847,36623,51125,36623,18544,18210,23763,0
40,38,453749,48668,58599,34188,58599,8715,4084,6645,0
43,57,260350,28819,16885,89709,16885,10237,7694,3864,0
69,81,158958,2574,7698,11897,7698,8574,853,747,0
70,93,101019,37453,6278,50263,6278,7130,10645,3829,0
83,88,220653,2467,911,3556,911,1331,590,1014,0
70,69,1071335,297118,50082,22575,50082,7694,10742,7427,0
47,64,498710,209962,134153,32913,134153,14981,7542,5560,0
53,56,853723,152954,20153,81161,20153,36516,32458,12660,0
38,51,802022,300343,66198,109640,66198,23456,4493,10119,0
54,61,66810,21868,3644,19128,3644,4147,2860,2224,0
61,70,59063,23975,19003,42760,19003,7015,3739,1278,0
54,75,102639,19005,9655,16055,9655,2954,2329,2458,0
60,90,204367,21757,4494,80251,4494,9149,8107,3964,0
48,91,149458,56583,14674,53388,14674,4506,5986,2518,0
57,84,89329,18804,19149,8786,19149,10222,4023,2088,0
64,96,42557,3588,22264,34514,22264,7714,4122,1438,0
66,93,20625,12572,6286,36384,6286,5555,2852,1624,0
66,96,20682,24191,6294,49599,6294,2542,2840,1644,0
69,96,33781,10367,6898,15005,6898,10226,2985,1199,0
74,81,30800,8725,2141,5929,2141,3266,2783,1665,0
75,75,19037,15137,7369,12355,7369,3762,3241,3126,0
90,77,10960,17978,2045,44057,2045,9353,5007,1822,0
83,81,51251,11540,13036,13609,13036,6618,1717,2679,0
70,88,144166,26580,16550,32475,16550,4483,3885,4448,0
75,87,149499,54240,7309,42355,7309,14471,3419,2269,1
74,78,102933,30027,10474,24024,10474,8442,3262,2224,1
83,75,54676,21765,15556,17596,15556,7769,4262,2231,1
84,75,48239,15895,14153,6243,14153,5906,1887,2739,1
90,70,149987,21000,13314,10178,13314,10640,2221,1331,1
100,67,6978,8977,11507,11823,11507,21096,2206,3254,1
97,61,118567,48796,16690,11229,16690,8469,2398,2137,1
83,63,121981,59343,14131,50025,14131,6010,3678,3166,1
70,66,49173,29077,16803,23120,16803,6201,3581,4100,1
48,70,234389,41766,28885,30747,28885,5712,3497,1912,1
47,80,93725,16741,4705,25400,4705,4152,1804,4743,1
38,77,153743,91845,10871,47713,10871,3293,5660,6384,1
40,77,5796,11804,6422,17962,6422,3414,6105,4349,1
29,64,133717,80195,5641,19654,5641,2071,6973,5967,1
23,57,200766,86462,23984,23554,23984,7120,9222,2539,1
34,66,71841,14422,12594,26595,12594,2828,7079,5012,1
